,gvkey,co_name,factiva_code,date,news_count,word_count,positive,negative,uncertain,no_sentient,contracts_orders,joint_ventures,earnings_projections,earnings,dividends,performance,ownership_changes,acquisitions_mergers_takeovers,marketing,management_moves,management_issues,share_capital,funding_capital,non_governmental_contracts,capacity_facilities,new_products_services,plans_strategy,franchises,financial_performance,acquisitions_mergers_divestments
1,174222,,,2012-03-06,1.0,41.0,0.0,0.0,0.0,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,
2,174222,,,2012-03-30,1.0,109.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,
3,174222,,,2012-04-02,1.0,2.0,0.0,0.0,0.0,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,
4,174222,,,2012-04-23,1.0,28.0,0.0,0.0,0.0,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
5,174222,,,2012-04-26,2.0,103.0,0.0,0.0,6.06060606060606,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
6,174222,,,2012-06-07,1.0,44.0,0.0,0.0,0.0,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,
7,174222,,,2012-06-12,1.0,55.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
8,174222,,,2012-07-26,2.0,154.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,
9,174222,,,2012-08-09,1.0,2.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,
10,174222,,,2012-10-25,2.0,100.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
11,174222,,,2012-12-05,1.0,51.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
12,174222,,,2013-01-31,2.0,86.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
13,174222,,,2013-02-14,1.0,31.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
14,174222,,,2013-03-12,1.0,57.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
15,174222,,,2013-04-25,2.0,105.0,0.0,0.0,2.63157894736842,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
16,174222,,,2013-05-10,1.0,22.0,4.54545454545455,0.0,4.54545454545455,,,,,,,,,,,Yes,Yes,,,,,,,,,
17,174222,,,2013-07-01,1.0,49.0,2.04081632653061,0.0,0.0,,Yes,,,,,,,,,,,,,Yes,,,,,,
18,174222,,,2013-07-09,1.0,29.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,,,,Yes,,,,,
19,174222,,,2013-07-25,2.0,83.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
20,174222,,,2013-09-12,1.0,79.0,1.26582278481013,0.0,0.0,,,Yes,,,,,,,,,,,,,,Yes,,,,
21,174222,,,2013-09-13,1.0,47.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
22,174222,,,2013-10-24,2.0,100.0,0.0,0.0,0.0,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,
23,174222,,,2014-01-13,1.0,46.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
24,174222,,,2014-02-06,3.0,105.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,
25,174222,,,2014-04-24,2.0,65.0,0.0,0.0,3.84615384615385,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
26,174222,,,2014-05-22,1.0,74.0,0.0,0.0,1.35135135135135,,,Yes,,,,,,,,,,,,,,,Yes,,,
27,174222,,,2014-07-23,1.0,121.0,1.65289256198347,3.30578512396694,0.0,,,Yes,,,,,,,,,,,,,,,,Yes,,
28,174222,,,2014-07-24,2.0,82.0,0.0,0.0,0.0,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,
29,174222,,,2014-09-30,1.0,45.0,0.0,0.0,0.0,Yes,,Yes,,,,,Yes,,,,,,,,,,,,,
30,174222,,,2014-10-23,2.0,35.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
31,174222,,,2014-11-19,1.0,10.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
32,174222,,,2014-11-24,1.0,32.0,3.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
33,174222,,,2014-12-18,1.0,29.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
34,174222,,,2015-01-26,1.0,28.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,
35,174222,,,2015-02-05,2.0,61.0,0.0,0.0,0.0,Yes,,,Yes,,Yes,,,,,,,,,,,,,,Yes,
36,174222,,,2015-02-26,1.0,2.0,0.0,0.0,0.0,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
37,174222,,,2015-03-04,1.0,31.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
38,174222,,,2015-04-23,1.0,51.0,0.0,0.0,0.0,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,
39,174222,,,2015-07-23,3.0,77.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,
40,174222,,,2015-10-22,2.0,52.0,0.0,0.0,0.0,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,
41,174222,,,2016-02-04,1.0,36.0,0.0,0.0,0.0,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,
42,174222,,,2016-04-28,1.0,32.0,0.0,0.0,3.125,,,,,,Yes,,,,,,,,,,,,,,Yes,
43,174222,,,2016-06-02,1.0,15.0,0.0,0.0,6.66666666666667,,,,,,,,Yes,,,,,,,,,,,,,Yes
44,174222,,,2016-07-21,2.0,82.0,0.0,5.0,0.0,,,,Yes,Yes,,,,,,,,,,,,,,,,
45,174222,,,2016-08-16,1.0,20.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,
46,174222,,,2016-09-27,1.0,27.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,
47,174222,,,2016-09-29,1.0,64.0,0.0,1.5625,0.0,,,,,,,,,,,,,,,,,Yes,,,,
48,174222,,,2016-10-20,2.0,41.0,3.125,0.0,0.0,,,,Yes,,Yes,,,,,,,,,,,,,,Yes,
49,174222,,,2016-11-17,1.0,129.0,1.55038759689922,2.32558139534884,0.775193798449612,,,,Yes,Yes,,,,,,,,,,,,,,,,
50,174222,,,2016-12-08,1.0,20.0,0.0,0.0,0.0,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,
